"","State","Account.Length","Area.Code","Phone","Int.l.Plan","VMail.Plan","VMail.Message","Day.Mins","Day.Calls","Day.Charge","Eve.Mins","Eve.Calls","Eve.Charge","Night.Mins","Night.Calls","Night.Charge","Intl.Mins","Intl.Calls","Intl.Charge","CustServ.Calls","Churn."
"1","KS",128,415,"382-4657","no","yes","25",265.1,110,"45.07",197.4," 99",16.78,244.7,91,11.01,10,3,"2.70",1,"False."
"2","OH",107,415,"371-7191","","yes","26",161.6,123,"27.47",195.5,"103",16.62,254.4,103,11.45,13.7,3,"3.70",1,"False."
"3","NJ",137,415,"358-1921","no","no","",243.4,114,"41.38",121.2,"",10.3,162.6,104,7.32,12.2,5,"3.29",0,"False."
"4","OH",84,408,"375-9999","yes","no"," 0",299.4,71,"50.90",61.9," 88",5.26,196.9,89,8.86,6.6,7,"",2,"False."
"5","OK",75,415,"330-6626","yes","no"," 0",166.7,113,"28.34",148.3,"",12.61,186.9,121,8.41,10.1,3,"2.73",3,"False."
"6","AL",118,510,"391-8027","yes","no"," 0",223.4,98,"",220.6,"101",18.75,203.9,118,9.18,6.3,6,"",0,"False."
"7","MA",121,510,"355-9993","no","yes","24",218.2,88,"37.09",348.5,"108",29.62,212.6,118,9.57,7.5,7,"2.03",3,"False."
"8","MO",147,415,"329-9001","yes","no"," 0",157,79,"26.69",103.1," 94",8.76,211.8,96,9.53,7.1,6,"1.92",0,"False."
"9","LA",117,408,"335-4719","no","no"," 0",184.5,97,"31.37",351.6," 80",29.89,215.8,90,9.71,8.7,4,"2.35",1,"False."
"10","WV",141,415,"330-8173","yes","yes","37",258.6,84,"43.96",222,"111",18.87,326.4,97,14.69,11.2,5,"3.02",0,"False."
"11","IN",65,415,"329-6603","no","no"," 0",129.1,137,"21.95",228.5," 83",19.42,208.8,111,9.4,12.7,6,"3.43",4,"True."
"12","RI",74,415,"344-9403","no","no","",187.7,127,"31.91",163.4,"148",13.89,196,94,8.82,9.1,5,"2.46",0,"False."
"13","IA",168,408,"363-1107","","no"," 0",128.8,96,"21.90",104.9," 71",8.92,141.1,128,6.35,11.2,2,"3.02",1,"False."
"14","MT",95,510,"394-8006","","no"," 0",156.6,88,"26.62",247.6," 75",21.05,192.3,115,8.65,12.3,5,"3.32",3,"False."
"15","IA",62,415,"366-9238","no","no"," 0",120.7,70,"20.52",307.2," 76",26.11,203,99,9.14,13.1,6,"3.54",4,"False."
"16","NY",161,415,"","no","no"," 0",332.9,67,"56.59",317.8," 97",27.01,160.6,128,7.23,5.4,9,"",4,"True."
"17","ID",85,408,"350-8884","no","yes","27",196.4,139,"33.39",280.9," 90",23.88,89.3,75,4.02,13.8,4,"3.73",1,"False."
"18","VT",93,510,"386-2923","no","no"," 0",190.7,114,"32.42",218.2,"111",18.55,129.6,121,5.83,8.1,3,"2.19",3,"False."
"19","VA",76,510,"356-2992","no","yes","33",189.7,66,"32.25",212.8," 65",18.09,165.7,108,7.46,10,5,"2.70",1,"False."
"21","FL",147,415,"396-5800","no","no","",155.1,117,"26.37",239.7," 93",20.37,208.8,133,9.4,10.6,4,"2.86",0,"False."
